index,true_label,candidate_labels,complementary_label
0,6,"['horse'; 'truck'; 'ship'; 'bird']",bird
1,9,"['automobile'; 'airplane'; 'ship'; 'bird']",automobile
2,9,"['bird'; 'ship'; 'automobile'; 'airplane']",automobile
3,4,"['automobile'; 'horse'; 'truck'; 'ship']",horse
4,1,"['ship'; 'horse'; 'deer'; 'frog']",ship
5,1,"['frog'; 'deer'; 'horse'; 'ship']",ship
6,2,"['dog'; 'airplane'; 'deer'; 'horse']",deer
7,7,"['airplane'; 'truck'; 'cat'; 'frog']",cat
8,8,"['cat'; 'truck'; 'deer'; 'frog']",truck
9,3,"['frog'; 'horse'; 'dog'; 'airplane']",dog
10,4,"['truck'; 'horse'; 'ship'; 'automobile']",horse
11,7,"['frog'; 'airplane'; 'cat'; 'truck']",truck
12,7,"['airplane'; 'cat'; 'frog'; 'truck']",cat
13,2,"['horse'; 'airplane'; 'deer'; 'dog']",airplane
14,9,"['automobile'; 'airplane'; 'bird'; 'ship']",automobile
15,9,"['airplane'; 'ship'; 'automobile'; 'bird']",automobile
16,9,"['ship'; 'bird'; 'airplane'; 'automobile']",automobile
17,3,"['horse'; 'airplane'; 'dog'; 'frog']",dog
18,2,"['deer'; 'horse'; 'airplane'; 'dog']",dog
19,6,"['ship'; 'bird'; 'horse'; 'truck']",ship
20,4,"['truck'; 'horse'; 'automobile'; 'ship']",horse
21,3,"['frog'; 'horse'; 'airplane'; 'dog']",dog
22,6,"['ship'; 'horse'; 'truck'; 'bird']",bird
23,6,"['horse'; 'bird'; 'ship'; 'truck']",bird
24,2,"['horse'; 'airplane'; 'deer'; 'dog']",dog
25,6,"['truck'; 'horse'; 'ship'; 'bird']",ship
26,3,"['airplane'; 'dog'; 'frog'; 'horse']",dog
27,5,"['ship'; 'truck'; 'automobile'; 'airplane']",ship
28,4,"['ship'; 'horse'; 'truck'; 'automobile']",horse
29,0,"['automobile'; 'horse'; 'dog'; 'cat']",automobile
30,0,"['cat'; 'horse'; 'automobile'; 'dog']",automobile
31,9,"['automobile'; 'airplane'; 'bird'; 'ship']",automobile
32,1,"['horse'; 'ship'; 'frog'; 'deer']",deer
33,3,"['horse'; 'dog'; 'frog'; 'airplane']",dog
34,4,"['horse'; 'truck'; 'ship'; 'automobile']",horse
35,0,"['cat'; 'horse'; 'automobile'; 'dog']",automobile
36,3,"['frog'; 'horse'; 'airplane'; 'dog']",dog
37,7,"['cat'; 'truck'; 'frog'; 'airplane']",truck
38,3,"['dog'; 'airplane'; 'frog'; 'horse']",dog
39,3,"['airplane'; 'horse'; 'dog'; 'frog']",dog
40,5,"['ship'; 'truck'; 'automobile'; 'airplane']",ship
41,2,"['deer'; 'dog'; 'airplane'; 'horse']",Ostrich
42,2,"['deer'; 'horse'; 'airplane'; 'dog']",dog
43,7,"['airplane'; 'cat'; 'truck'; 'frog']",truck
44,1,"['frog'; 'deer'; 'ship'; 'horse']",ship
45,1,"['ship'; 'horse'; 'frog'; 'deer']",ship
46,1,"['horse'; 'ship'; 'frog'; 'deer']",deer
47,2,"['deer'; 'dog'; 'horse'; 'airplane']",deer
48,2,"['horse'; 'dog'; 'airplane'; 'deer']",deer
49,0,"['dog'; 'horse'; 'automobile'; 'cat']",automobile
50,9,"['bird'; 'automobile'; 'ship'; 'airplane']",automobile
51,5,"['ship'; 'truck'; 'airplane'; 'automobile']",ship
52,7,"['airplane'; 'frog'; 'truck'; 'cat']",cat
53,9,"['automobile'; 'bird'; 'ship'; 'airplane']",automobile
54,2,"['horse'; 'dog'; 'airplane'; 'deer']",airplane
55,2,"['dog'; 'deer'; 'airplane'; 'horse']",horse
56,5,"['truck'; 'automobile'; 'airplane'; 'ship']",ship
57,2,"['dog'; 'airplane'; 'deer'; 'horse']",airplane
58,4,"['automobile'; 'horse'; 'ship'; 'truck']",horse
59,3,"['dog'; 'horse'; 'airplane'; 'frog']",dog
60,1,"['ship'; 'horse'; 'frog'; 'deer']",ship
61,1,"['horse'; 'frog'; 'deer'; 'ship']",ship
62,8,"['deer'; 'cat'; 'truck'; 'frog']",truck
63,2,"['deer'; 'airplane'; 'dog'; 'horse']",horse
64,1,"['ship'; 'horse'; 'frog'; 'deer']",ship
65,1,"['deer'; 'frog'; 'ship'; 'horse']",ship
66,4,"['automobile'; 'horse'; 'truck'; 'ship']",horse
67,9,"['ship'; 'airplane'; 'bird'; 'automobile']",automobile
68,7,"['frog'; 'airplane'; 'truck'; 'cat']",truck
69,8,"['deer'; 'truck'; 'frog'; 'cat']",cat
70,5,"['airplane'; 'ship'; 'truck'; 'automobile']",truck
71,9,"['airplane'; 'bird'; 'ship'; 'automobile']",automobile
72,6,"['truck'; 'ship'; 'horse'; 'bird']",horse
73,7,"['cat'; 'frog'; 'truck'; 'airplane']",truck
74,3,"['dog'; 'horse'; 'frog'; 'airplane']",dog
75,1,"['ship'; 'deer'; 'horse'; 'frog']",ship
76,9,"['automobile'; 'airplane'; 'ship'; 'bird']",ship
77,0,"['horse'; 'dog'; 'automobile'; 'cat']",automobile
78,3,"['horse'; 'dog'; 'airplane'; 'frog']",dog
79,1,"['deer'; 'horse'; 'frog'; 'ship']",ship
80,3,"['airplane'; 'frog'; 'dog'; 'horse']",dog
81,5,"['ship'; 'automobile'; 'airplane'; 'truck']",ship
82,4,"['horse'; 'ship'; 'truck'; 'automobile']",horse
83,5,"['ship'; 'truck'; 'automobile'; 'airplane']",ship
84,7,"['cat'; 'frog'; 'truck'; 'airplane']",cat
85,7,"['cat'; 'truck'; 'airplane'; 'frog']",cat
86,4,"['truck'; 'automobile'; 'ship'; 'horse']",horse
87,7,"['cat'; 'frog'; 'airplane'; 'truck']",truck
88,9,"['bird'; 'ship'; 'airplane'; 'automobile']",automobile
89,4,"['truck'; 'ship'; 'horse'; 'automobile']",horse
90,2,"['dog'; 'deer'; 'airplane'; 'horse']",horse
91,3,"['airplane'; 'frog'; 'horse'; 'dog']",horse
92,8,"['deer'; 'truck'; 'cat'; 'frog']",frog
93,0,"['cat'; 'automobile'; 'horse'; 'dog']",automobile
94,1,"['horse'; 'deer'; 'frog'; 'ship']",ship
95,6,"['truck'; 'horse'; 'ship'; 'bird']",bird
96,1,"['ship'; 'deer'; 'horse'; 'frog']",ship
97,1,"['ship'; 'deer'; 'frog'; 'horse']",ship
98,4,"['horse'; 'ship'; 'automobile'; 'truck']",horse
99,1,"['deer'; 'ship'; 'frog'; 'horse']",horse
100,8,"['deer'; 'frog'; 'cat'; 'truck']",truck
101,3,"['dog'; 'frog'; 'airplane'; 'horse']",dog
102,9,"['automobile'; 'airplane'; 'ship'; 'bird']",automobile
103,6,"['bird'; 'horse'; 'ship'; 'truck']",truck
104,6,"['truck'; 'horse'; 'bird'; 'ship']",bird
105,1,"['ship'; 'deer'; 'horse'; 'frog']",ship
106,8,"['frog'; 'cat'; 'truck'; 'deer']",truck
107,5,"['airplane'; 'automobile'; 'truck'; 'ship']",ship
108,2,"['airplane'; 'horse'; 'dog'; 'deer']",deer
109,9,"['ship'; 'automobile'; 'bird'; 'airplane']",ship
110,9,"['ship'; 'bird'; 'automobile'; 'airplane']",automobile
111,8,"['deer'; 'cat'; 'frog'; 'truck']",truck
112,1,"['ship'; 'deer'; 'horse'; 'frog']",ship
113,7,"['truck'; 'frog'; 'airplane'; 'cat']",cat
114,7,"['truck'; 'frog'; 'cat'; 'airplane']",cat
115,0,"['cat'; 'automobile'; 'dog'; 'horse']",automobile
116,0,"['horse'; 'dog'; 'cat'; 'automobile']",automobile
117,6,"['horse'; 'truck'; 'bird'; 'ship']",bird
118,9,"['airplane'; 'bird'; 'automobile'; 'ship']",automobile
119,1,"['deer'; 'frog'; 'horse'; 'ship']",ship
120,2,"['dog'; 'horse'; 'deer'; 'airplane']",airplane
121,2,"['dog'; 'horse'; 'airplane'; 'deer']",dog
122,9,"['ship'; 'airplane'; 'bird'; 'automobile']",automobile
123,2,"['deer'; 'horse'; 'airplane'; 'dog']",airplane
124,6,"['ship'; 'truck'; 'horse'; 'bird']",bird
125,6,"['bird'; 'ship'; 'truck'; 'horse']",horse
126,1,"['frog'; 'deer'; 'horse'; 'ship']",ship
127,9,"['airplane'; 'automobile'; 'bird'; 'ship']",automobile
128,5,"['automobile'; 'airplane'; 'truck'; 'ship']",ship
129,0,"['dog'; 'cat'; 'horse'; 'automobile']",automobile
130,4,"['ship'; 'automobile'; 'truck'; 'horse']",horse
131,7,"['truck'; 'airplane'; 'frog'; 'cat']",cat
132,6,"['ship'; 'truck'; 'horse'; 'bird']",bird
133,7,"['frog'; 'truck'; 'cat'; 'airplane']",truck
134,1,"['frog'; 'ship'; 'horse'; 'deer']",horse
135,8,"['truck'; 'deer'; 'frog'; 'cat']",cat
136,1,"['deer'; 'ship'; 'frog'; 'horse']",horse
137,1,"['deer'; 'horse'; 'frog'; 'ship']",ship
138,2,"['dog'; 'horse'; 'airplane'; 'deer']",airplane
139,8,"['truck'; 'frog'; 'cat'; 'deer']",deer
140,1,"['deer'; 'horse'; 'frog'; 'ship']",ship
141,3,"['airplane'; 'horse'; 'frog'; 'dog']",dog
142,3,"['horse'; 'dog'; 'airplane'; 'frog']",dog
143,6,"['horse'; 'truck'; 'bird'; 'ship']",bird
144,2,"['dog'; 'airplane'; 'horse'; 'deer']",deer
145,4,"['automobile'; 'ship'; 'truck'; 'horse']",horse
146,9,"['automobile'; 'airplane'; 'ship'; 'bird']",automobile
147,9,"['bird'; 'airplane'; 'ship'; 'automobile']",automobile
148,5,"['automobile'; 'truck'; 'airplane'; 'ship']",ship
149,4,"['horse'; 'truck'; 'ship'; 'automobile']",horse
150,3,"['horse'; 'dog'; 'airplane'; 'frog']",dog
151,6,"['ship'; 'truck'; 'horse'; 'bird']",bird
152,7,"['frog'; 'airplane'; 'cat'; 'truck']",truck
153,4,"['automobile'; 'truck'; 'ship'; 'horse']",horse
154,6,"['bird'; 'truck'; 'horse'; 'ship']",ship
155,8,"['frog'; 'truck'; 'deer'; 'cat']",deer
156,5,"['truck'; 'ship'; 'automobile'; 'airplane']",automobile
157,5,"['truck'; 'ship'; 'automobile'; 'airplane']",ship
158,4,"['horse'; 'ship'; 'automobile'; 'truck']",horse
159,3,"['dog'; 'horse'; 'frog'; 'airplane']",dog
160,1,"['horse'; 'frog'; 'ship'; 'deer']",ship
161,8,"['deer'; 'cat'; 'truck'; 'frog']",truck
162,4,"['truck'; 'automobile'; 'ship'; 'horse']",horse
163,7,"['frog'; 'airplane'; 'truck'; 'cat']",truck
164,6,"['truck'; 'bird'; 'ship'; 'horse']",horse
165,0,"['dog'; 'cat'; 'automobile'; 'horse']",automobile
166,9,"['airplane'; 'bird'; 'ship'; 'automobile']",automobile
167,5,"['truck'; 'ship'; 'airplane'; 'automobile']",automobile
168,1,"['deer'; 'ship'; 'frog'; 'horse']",ship
169,3,"['horse'; 'frog'; 'dog'; 'airplane']",dog
170,8,"['cat'; 'deer'; 'truck'; 'frog']",truck
171,2,"['dog'; 'deer'; 'airplane'; 'horse']",horse
172,7,"['airplane'; 'truck'; 'frog'; 'cat']",cat
173,5,"['automobile'; 'airplane'; 'truck'; 'ship']",truck
174,3,"['airplane'; 'frog'; 'dog'; 'horse']",dog
175,4,"['ship'; 'truck'; 'horse'; 'automobile']",horse
176,1,"['deer'; 'frog'; 'ship'; 'horse']",ship
177,5,"['automobile'; 'truck'; 'ship'; 'airplane']",ship
178,7,"['airplane'; 'frog'; 'cat'; 'truck']",cat
179,0,"['automobile'; 'horse'; 'dog'; 'cat']",automobile
180,4,"['automobile'; 'horse'; 'ship'; 'truck']",horse
181,7,"['truck'; 'airplane'; 'frog'; 'cat']",cat
182,5,"['truck'; 'automobile'; 'ship'; 'airplane']",airplane
183,5,"['automobile'; 'truck'; 'ship'; 'airplane']",airplane
184,1,"['ship'; 'horse'; 'deer'; 'frog']",ship
185,0,"['automobile'; 'dog'; 'horse'; 'cat']",automobile
186,9,"['ship'; 'automobile'; 'airplane'; 'bird']",automobile
187,6,"['bird'; 'truck'; 'horse'; 'ship']",bird
188,9,"['automobile'; 'bird'; 'ship'; 'airplane']",automobile
189,0,"['automobile'; 'dog'; 'horse'; 'cat']",automobile
190,8,"['frog'; 'truck'; 'deer'; 'cat']",truck
191,7,"['cat'; 'truck'; 'airplane'; 'frog']",airplane
192,8,"['deer'; 'truck'; 'cat'; 'frog']",frog
193,8,"['frog'; 'cat'; 'deer'; 'truck']",truck
194,2,"['airplane'; 'horse'; 'deer'; 'dog']",deer
195,5,"['truck'; 'automobile'; 'ship'; 'airplane']",truck
196,2,"['dog'; 'airplane'; 'horse'; 'deer']",deer
197,3,"['dog'; 'horse'; 'airplane'; 'frog']",dog
198,5,"['airplane'; 'ship'; 'truck'; 'automobile']",truck
199,0,"['cat'; 'dog'; 'automobile'; 'horse']",automobile
200,6,"['bird'; 'ship'; 'truck'; 'horse']",bird
201,1,"['frog'; 'horse'; 'deer'; 'ship']",ship
202,9,"['ship'; 'automobile'; 'bird'; 'airplane']",automobile
203,3,"['airplane'; 'frog'; 'horse'; 'dog']",dog
204,6,"['truck'; 'bird'; 'horse'; 'ship']",horse
205,9,"['airplane'; 'ship'; 'automobile'; 'bird']",automobile
206,1,"['ship'; 'frog'; 'horse'; 'deer']",ship
207,3,"['dog'; 'frog'; 'airplane'; 'horse']",dog
208,9,"['airplane'; 'bird'; 'automobile'; 'ship']",automobile
209,6,"['horse'; 'bird'; 'truck'; 'ship']",ship
210,6,"['ship'; 'truck'; 'bird'; 'horse']",ship
211,7,"['airplane'; 'cat'; 'frog'; 'truck']",truck
212,1,"['frog'; 'deer'; 'horse'; 'ship']",ship
213,0,"['automobile'; 'cat'; 'horse'; 'dog']",automobile
214,9,"['airplane'; 'ship'; 'automobile'; 'bird']",automobile
215,5,"['automobile'; 'airplane'; 'ship'; 'truck']",truck
216,8,"['truck'; 'frog'; 'cat'; 'deer']",cat
217,5,"['ship'; 'truck'; 'airplane'; 'automobile']",ship
218,2,"['horse'; 'deer'; 'airplane'; 'dog']",dog
219,9,"['bird'; 'automobile'; 'airplane'; 'ship']",automobile
220,0,"['dog'; 'horse'; 'automobile'; 'cat']",automobile
221,8,"['frog'; 'truck'; 'deer'; 'cat']",truck
222,8,"['deer'; 'frog'; 'truck'; 'cat']",truck
223,0,"['horse'; 'cat'; 'dog'; 'automobile']",automobile
224,6,"['horse'; 'truck'; 'ship'; 'bird']",horse
225,9,"['automobile'; 'bird'; 'airplane'; 'ship']",automobile
226,1,"['horse'; 'deer'; 'ship'; 'frog']",ship
227,1,"['ship'; 'frog'; 'deer'; 'horse']",ship
228,6,"['ship'; 'horse'; 'bird'; 'truck']",bird
229,3,"['airplane'; 'horse'; 'dog'; 'frog']",dog
230,7,"['truck'; 'frog'; 'cat'; 'airplane']",cat
231,6,"['ship'; 'horse'; 'truck'; 'bird']",bird
232,6,"['truck'; 'bird'; 'ship'; 'horse']",bird
233,0,"['cat'; 'automobile'; 'dog'; 'horse']",automobile
234,6,"['truck'; 'ship'; 'horse'; 'bird']",bird
235,6,"['ship'; 'truck'; 'bird'; 'horse']",bird
236,1,"['ship'; 'deer'; 'horse'; 'frog']",ship
237,7,"['truck'; 'cat'; 'airplane'; 'frog']",Horse
238,1,"['horse'; 'deer'; 'frog'; 'ship']",ship
239,5,"['airplane'; 'automobile'; 'truck'; 'ship']",truck
240,8,"['frog'; 'truck'; 'cat'; 'deer']",deer
241,3,"['dog'; 'frog'; 'airplane'; 'horse']",horse
242,6,"['truck'; 'ship'; 'bird'; 'horse']",bird
243,6,"['truck'; 'ship'; 'horse'; 'bird']",horse
244,8,"['truck'; 'cat'; 'frog'; 'deer']",deer
245,6,"['truck'; 'bird'; 'horse'; 'ship']",ship
246,8,"['truck'; 'cat'; 'frog'; 'deer']",deer
247,4,"['truck'; 'automobile'; 'horse'; 'ship']",ship
248,6,"['truck'; 'bird'; 'ship'; 'horse']",bird
249,6,"['horse'; 'ship'; 'truck'; 'bird']",bird
250,1,"['ship'; 'frog'; 'deer'; 'horse']",ship
251,3,"['frog'; 'horse'; 'airplane'; 'dog']",dog
252,8,"['cat'; 'truck'; 'frog'; 'deer']",truck
253,3,"['frog'; 'dog'; 'airplane'; 'horse']",dog
254,4,"['truck'; 'automobile'; 'horse'; 'ship']",horse
255,1,"['horse'; 'deer'; 'frog'; 'ship']",ship
256,7,"['truck'; 'airplane'; 'frog'; 'cat']",cat
257,1,"['horse'; 'ship'; 'frog'; 'deer']",deer
258,3,"['dog'; 'airplane'; 'frog'; 'horse']",dog
259,8,"['truck'; 'cat'; 'frog'; 'deer']",deer
260,5,"['truck'; 'airplane'; 'automobile'; 'ship']",ship
261,1,"['horse'; 'deer'; 'ship'; 'frog']",ship
262,1,"['horse'; 'frog'; 'ship'; 'deer']",ship
263,4,"['ship'; 'automobile'; 'truck'; 'horse']",horse
264,0,"['dog'; 'horse'; 'automobile'; 'cat']",automobile
265,9,"['bird'; 'ship'; 'airplane'; 'automobile']",automobile
266,3,"['airplane'; 'frog'; 'horse'; 'dog']",dog
267,7,"['cat'; 'airplane'; 'truck'; 'frog']",truck
268,4,"['ship'; 'automobile'; 'truck'; 'horse']",horse
269,9,"['ship'; 'bird'; 'airplane'; 'automobile']",automobile
270,9,"['airplane'; 'ship'; 'automobile'; 'bird']",automobile
271,2,"['deer'; 'horse'; 'airplane'; 'dog']",airplane
272,4,"['horse'; 'automobile'; 'ship'; 'truck']",horse
273,9,"['airplane'; 'ship'; 'bird'; 'automobile']",automobile
274,9,"['airplane'; 'automobile'; 'ship'; 'bird']",automobile
275,1,"['deer'; 'horse'; 'frog'; 'ship']",ship
276,0,"['automobile'; 'dog'; 'horse'; 'cat']",horse
277,5,"['truck'; 'ship'; 'airplane'; 'automobile']",automobile
278,9,"['bird'; 'airplane'; 'automobile'; 'ship']",automobile
279,0,"['horse'; 'cat'; 'dog'; 'automobile']",automobile
280,8,"['deer'; 'cat'; 'truck'; 'frog']",truck
281,2,"['dog'; 'deer'; 'airplane'; 'horse']",airplane
282,1,"['ship'; 'horse'; 'frog'; 'deer']",ship
283,2,"['deer'; 'horse'; 'airplane'; 'dog']",dog
284,0,"['automobile'; 'cat'; 'dog'; 'horse']",automobile
285,5,"['automobile'; 'airplane'; 'ship'; 'truck']",truck
286,6,"['bird'; 'truck'; 'horse'; 'ship']",bird
287,3,"['dog'; 'horse'; 'airplane'; 'frog']",dog
288,2,"['airplane'; 'deer'; 'horse'; 'dog']",deer
289,7,"['truck'; 'cat'; 'frog'; 'airplane']",airplane
290,8,"['frog'; 'deer'; 'truck'; 'cat']",truck
291,8,"['truck'; 'cat'; 'frog'; 'deer']",truck
292,6,"['horse'; 'bird'; 'truck'; 'ship']",bird
293,0,"['dog'; 'horse'; 'automobile'; 'cat']",automobile
294,7,"['airplane'; 'truck'; 'frog'; 'cat']",truck
295,9,"['bird'; 'automobile'; 'airplane'; 'ship']",automobile
296,4,"['automobile'; 'truck'; 'ship'; 'horse']",horse
297,5,"['ship'; 'truck'; 'automobile'; 'airplane']",ship
298,6,"['ship'; 'truck'; 'horse'; 'bird']",bird
299,4,"['automobile'; 'ship'; 'horse'; 'truck']",horse
300,2,"['airplane'; 'horse'; 'deer'; 'dog']",horse
301,1,"['horse'; 'ship'; 'frog'; 'deer']",horse
302,1,"['ship'; 'deer'; 'horse'; 'frog']",ship
303,2,"['dog'; 'deer'; 'airplane'; 'horse']",airplane
304,1,"['ship'; 'frog'; 'deer'; 'horse']",ship
305,5,"['ship'; 'truck'; 'airplane'; 'automobile']",ship
306,9,"['ship'; 'airplane'; 'bird'; 'automobile']",automobile
307,9,"['automobile'; 'bird'; 'airplane'; 'ship']",automobile
308,0,"['dog'; 'cat'; 'horse'; 'automobile']",automobile
309,8,"['frog'; 'deer'; 'cat'; 'truck']",truck
310,4,"['horse'; 'ship'; 'automobile'; 'truck']",horse
311,1,"['deer'; 'horse'; 'frog'; 'ship']",ship
312,1,"['deer'; 'horse'; 'ship'; 'frog']",ship
313,6,"['truck'; 'ship'; 'horse'; 'bird']",bird
314,3,"['frog'; 'airplane'; 'dog'; 'horse']",dog
315,3,"['dog'; 'horse'; 'airplane'; 'frog']",dog
316,9,"['bird'; 'ship'; 'airplane'; 'automobile']",automobile
317,0,"['automobile'; 'horse'; 'cat'; 'dog']",dog
318,7,"['cat'; 'truck'; 'airplane'; 'frog']",Horse
319,9,"['automobile'; 'airplane'; 'bird'; 'ship']",automobile
320,7,"['airplane'; 'cat'; 'frog'; 'truck']",cat
321,7,"['airplane'; 'frog'; 'cat'; 'truck']",cat
322,9,"['automobile'; 'ship'; 'airplane'; 'bird']",automobile
323,1,"['ship'; 'frog'; 'deer'; 'horse']",ship
324,5,"['airplane'; 'ship'; 'truck'; 'automobile']",truck
325,1,"['frog'; 'horse'; 'ship'; 'deer']",ship
326,6,"['truck'; 'bird'; 'ship'; 'horse']",bird
327,6,"['ship'; 'truck'; 'horse'; 'bird']",bird
328,8,"['cat'; 'deer'; 'truck'; 'frog']",frog
329,7,"['frog'; 'cat'; 'airplane'; 'truck']",truck
330,1,"['ship'; 'horse'; 'frog'; 'deer']",ship
331,3,"['frog'; 'horse'; 'dog'; 'airplane']",dog
332,0,"['dog'; 'automobile'; 'horse'; 'cat']",automobile
333,3,"['horse'; 'dog'; 'airplane'; 'frog']",dog
334,3,"['horse'; 'dog'; 'frog'; 'airplane']",dog
335,2,"['airplane'; 'horse'; 'dog'; 'deer']",deer
336,4,"['ship'; 'horse'; 'automobile'; 'truck']",ship
337,5,"['ship'; 'airplane'; 'automobile'; 'truck']",truck
338,7,"['airplane'; 'cat'; 'frog'; 'truck']",cat
339,5,"['ship'; 'airplane'; 'automobile'; 'truck']",ship
340,9,"['automobile'; 'ship'; 'bird'; 'airplane']",automobile
341,0,"['automobile'; 'dog'; 'horse'; 'cat']",horse
342,3,"['horse'; 'frog'; 'dog'; 'airplane']",dog
343,4,"['truck'; 'ship'; 'horse'; 'automobile']",horse
344,0,"['horse'; 'dog'; 'automobile'; 'cat']",automobile
345,4,"['ship'; 'automobile'; 'truck'; 'horse']",horse
346,4,"['horse'; 'ship'; 'truck'; 'automobile']",horse
347,6,"['bird'; 'horse'; 'truck'; 'ship']",bird
348,0,"['dog'; 'cat'; 'horse'; 'automobile']",automobile
349,0,"['horse'; 'dog'; 'automobile'; 'cat']",automobile
350,6,"['ship'; 'horse'; 'truck'; 'bird']",bird
351,6,"['truck'; 'ship'; 'bird'; 'horse']",bird
352,0,"['horse'; 'dog'; 'automobile'; 'cat']",automobile
